Amity Business School ,,,,,,
Faculty Research Publications,,,,,,
,,,,,,
Sr. No.,Publication Title,Name of Author,Name of Journal,Year of Publication,ISSN/ISBN,National/ International
11,Consumer Perceptions of Sustainable Products and Their Impact on Purchase Intention: A Thematic Literature Review,"Hajra Perween, Dr. Neha Choudhary, Dr. Bhawna Sharma Padroo","International Advanced Research Journal in Science, Engineering and Technology, ISSN (O) 2393-8021, Vol. 12, Issue 5",2025,2393-8021,International
12,Literature Review On Digital Payment Adoption In The Lpg Sector,"Mona Srivastava, Dr. Neha Choudhary, Dr. Bhawna Sharma","International Advanced Research Journal in Science, Engineering and Technology, ISSN 2393-8021, Vol. 12, Issue 5",2025,2393-8021,International
13,Understanding The Market: A Literature Review On Market Research Applications,"Pranjal Mathur, Dr. Neha Choudhary, Dr. Bhawna Sharma","International Journal of Creative Research Thoughts (IJCRT), ISSN: 2320-2882, Volume 13, Issue 5",2025,2320-2882,International
14,COVID-19 Pandemic Influence on Quick Commerce and Consumer Behavior Changes,"Sanjoly Dharwa Mohata, Dr. Neha Chaudhary, Dr. Bhawna Sharma","International Journal of Research and Analytical Reviews (IJRAR), ISSN 2348-1269, Volume 12, Issue 2",2025,2393-8021,International
15,The Role Of Artificial Intelligence In Financial Inclusion: Impact On Financial Services With Special Reference To Public Sector Banks In Maharashtra.,"Shailesh Mukadam, Dr. Neha Choudhary, Dr. Bhawana Sharma","International Journal of Creative Research Thoughts (IJCRT), ISSN: 2320-2882, Volume 13, Issue 5",2025,2320-288,International
16,"Enablers And Barriers In Adoption Of Circular Economy By Micro, Small And Medium Enterprises (Msmes): A Systematic Review","Sushnata Goswami, Dr Neha Choudhary, Dr Bhawna Sharma Padroo","International Journal of Research and Analytical Reviews (IJRAR), ISSN 2348-1269, Volume 12, Issue 2",2025,2393-8021,International
17,Assessing the Impact of Climate Change on Chemical Disaster Risk in India: A Regional Study,"Ganesh Zine, Dr. Bhawna Sharma","International Journal for Research in Engineering Application & Management (IJREAM), ISSN : 2454-9150",2025,2454-9150,International
18,Unlocking the era with the export potential of India in Renewable Energies,"Dr. Anuradha Agarwal, Dr. Priya Satsangi","International Research Journal of Commerce, Arts and Science, ISSN : 2319-9202",2025,319-9202,International
19,Correlation of Appraisals on Employee Engagement and Performance,"Pratyush Gautam, Dr.Reshma Nair","Ajanta- International Multidisciplinary Quarterly Research Journal, ",2025,2277 - 5730,International
20,Health and Nutritional Status of Indian Society after Independence with Contextual Relevance to Digital Health and Public Health Policy ,"Rahul Lad, Dr. Bhawna Sharma","Ajanta- An International Multidisciplinary Quarterly Research Journal, ISSN - 2277 - 5730",2025,2277 - 5730,International
21,The Evolving Landscape of Training & Development,"Abhinava Tiwari, Dr. Reshma Nair","Ajanta- An International Multidisciplinary Quarterly Research Journal, ISSN - 2277 - 5730",2025,2277 - 5730,International
22,Supreme Court Ruling on Mining Cess Karnataka Government Proposal to Levy Tax : Impact On SME Industry In Iron Ore and Steel Segment and Bank SME Portfolio In Impacted Company,"Saket Suman, Dr. Neha Choudhary","International Journal of Cultural Studies and Social Sciences, 2347-4777",2025,2347-4777,International
23,Ayushman Bharat: Key Challenges of Hospital Operating Cycle and Bank Role In Manging the Credit Gap,"Saket Suman, Dr. Neha Choudhary","International Journal of Cultural Studies and Social Sciences , 2347-4777",2025,2347-4777,International
24,Rising Steel Imports in Iron & Steel Industry: Its Impact on SME Industry and Credit Supply,"Saket Suman, Dr. Neha Choudhary","Journal of Engineering and Technology Management, ",2025,0923-4748,National
25,Challenges Faced in Chemical Disaster Management by Private Companies in the Mumbai Region,"Ganesh Shankar Zine, Dr  Bhawna Sharma","Indian Journal for Technical Education, ISSN : 0378 – 4568 ",2025,0378 – 4568,National
26,Work-Life Balance Initiatives In Education Institutions and Their Impact on Employee Retention,"Shipra Aggarwal, Dr. Satuluri Padma","ANVESAK- UGC Care, ISSN : 0378 – 4568 ",2025,0378 – 4568,National
27,Survey Study on Early Financial Education: Analyzing Students' Financial Literacy Levels,Indrayani Uthale & Dr. Vishal Dilip Chavan,"Educreate Research Journal, ",2025,2455-0515,International
28,Unveiling the VTO Effect: A Pilot Study on the Influence of Virtual Try-On Features used by Apparel Ecommerce platforms on Consumer Demographics and Purchase,"Jinal Pandya, Dr. Sameer Kulkarni","International Journal of Advance and Applied Research (IJAAR)), ISSN No 2347-7075",2025,2347-7075,International
29,Health and Nutritional Status of Indian Society After Independence with Contextual Relevance to Digital Health and Public Health Policy,"Rahul Lad, Dr. Bhawna Sharma","AJANTA, 2277-5730",2025,2277-5730,International
30,WLB initiatives in education institutions & their impact on employee retention.,"Shipra Agarwal, Satuluri Padma","ANVESAK UGC CARE Group 1 Journal, ISSN : 0378 – 4568",2025,0378 – 4568,National
31,Talent Drain in Luxury Hotels: Exploring Causes and Solutions for Sustainable Employee Retention,"Mr. Shirish Bokde, Dr. Sameer Kulkarni, Prof. (Dr). Bhawna Sharma Padroo",International Journal of Humanities Education,2025,2327-2457,International
32,Supreme Court Ruling on Mining Cess Karnataka Government Proposal to Levy Tax : Impact On SME Industry In Iron Ore and Steel Segment and Bank SME Portfolio In Impacted Company,"Saket Suman, Dr. Neha Choudhary","Journal of Neonatal Surgery, Volume 14, Issue-14, 967-973",2025,967-973,National
33,An Exploratory Artificial Intelligence In Shaping International Currency Market Strategies,"Aarti Ganesh Sawant, Prof. Dr. Sameer Kulkarni,","International Journal of Research Publication and Reviews volume 6, issue 4, April 2025, ISSN: 2582-7421",2025,582-7421,International
34,A Study on Various Factors Affecting Logistics and Transportation Services in India,"Shreyash Daphle, Prof. Linu George","International Journal of Research Publication and Reviews, Vol(6), Issue(5), May(2025), ISSN 2582-7421",2025,2582-7421,International
35,The Impact of Digital Transformation through Artificial Intelligence and Blockchain on Supply Chain Companies,"Mr. Chetan Gulvankar, Dr. Vishal Chavan,","International Journal of Research Publication and Reviews, ISSN 2582-7421 128654-12582-7421",2025,582-7421,International
36,Impact of digitalization on advertising and marketing strategies in India,"Mr. Rohan Pawar , Dr.Neha Choudhary","International Journal of Research Publication and Reviews, Volume 6 Issue 4ISSN: 2582-7421",2025,2582-7421,International
37,IMPACT OF AI ON ONLINE FASHION AND APPAREL SHOPPING AMONG YOUNG CONSUMERS,"Shardul Khare, Sushmita Dutta, Prof. Linu George","International Journal of Research Publication and Reviews, Vol(6), Issue(5), May(2025)ISSN 2582-7421",2025,2582-7421,International
38,To Evaluate the impact of technology (IOT) on improving cold efficiency,"Sourabh Kumar Chouhan, Dr. Vishal Chavan","International Journal of Research Publication and Reviews, ISSN 2582-7421 129158-1ISSN 2582-7421 129158-1",2025,129158-1,International
39,The Transformative Role of AI in International Marketing Strategy,"Ms Sushmita Dutta, Dr. Priya Satsangi","International Journal of Research Publication and Reviews, Volume 6 Issue 4ISSN: 2582-7421",2025,2582-7421,International
40,A study on impact of e-commerce on logistics and transportation businesses ,Omkar kalbhor Dr.Reshma Nair ,International Journal of Research Publication and Reviews (IJRPR)vol 6 issue 4ISSN 2582-7421,2025,2582-7421,International
41,The Effectiveness of Hybrid Working on the Productivity of Employees,"Ms.Aditi Sharma, Dr. Priya Satsangi","International Journal of Research Publication and Reviews,Volume 6 Issue 4ISSN: 2582-7421",2025,2582-7421,International
42,The effectiveness of Digital Recruitment Tools in Hiring Quality Candidates,Ms.Anamika Singh Dr Priya Satsangi,"International Journal of Research Publication and Reviews, Volume 6 Issue 4ISSN: 2582-7421",2025,2582-7421,International
43,The Impact of Reward System on Employee Motivation& Retention In the Workplace ,"Harsh Mehta, Dr. Priya Satsangi","International Journal of Research Publication and Reviews, (IJRPR)Vol (6), Issue (4), April (2025) Page – 11228-11231 ISSN 2582-7421",2025,2582-7421,International
44,A Study on Impact of Corporate Downsizing on Employee Motivation and Morale,Zubiya Khan Reshma Rakesh Nair,"International Journal of Research Publication and Reviews, Volume 6 Issue 4ISSN: 2582-7421",2025,2582-7421,International
45,Future of Work: Perceptions of Remote Work and Flexibility Among Employees ,"Riya Pooja Shriprasad Kulkarni, Dr. Reshma Nair, ","History Research JournalVolume 31, page no.2310976-5425(P)",2025,0976-5425,National
46,To study the impact of global competitiveness and cultural diversity on strategic human resource management ,"Saptorshi Paul Chaudhuri , Dr. Reshma Nair","International Journal of Research Publication and Reviews, volume 6, issue 4ISSN 2582-7421",2025,2582-7421,International
47,IMPACT OF JOB SATISFACTION ON THE EMPLOYEE ENGAGEMENT IN VIRAL FISSION”,"Shivam Sharma,Dr.Neha","International Journal of Research Publication and Reviews, ISSN 2582-7421ISSN 2582-7421",2025,2582-7421,International
48,Perceptions and adoption of Artificial Intelligence in Recruitment: A Comparative Study of Job seekers and HR Professionals,"Ms Tanvi Sham Kandpile, Dr. Bhawna Sharma Padroo","International Journal of Research Publication and Reviews, Volume 6 Issue 4ISSN: 2582-7421",2025,2582-7421,International
49,Impact of Defining Employbility Skills for Recruitment Selection in Current Large Organization,"Yash Dhirani, Dr Neha Choudhary","B Aadhar International Peer Reviewed Indexed Research Journal, ISSN 2278-9308, Issue (DXVII) 5172278-9308",2025,2278-9308,International
50,Shelf Placement Impact: Analyzing How Product Placement at Eye Level Affects Sales,"Ms. Ayesha Saeed Pawne, Dr.Sameer A Kulkarni, Dr.Bhawna Sharma","International Journal of Research Publication and Reviews, Volume 6 Issue 4ISSN: 2582-7421",2025,2582-7421,International
51,“Understanding the Marketing Strategies of Sugar Cosmetics in the Indian Market”,"Gaurav Biswas, Dr. Sameer Kulkarni,","International Journal of Research Publication and Reviews, volume 6,issue 5 ,April 2025ISSN: 2582-7421",2025,2582-7421,International
52,The influence of AI Powered chat bots on enhancing customer experience in Ecommerce,"Siddhesh Patil , Dr Bhojraj","International Journal of Research Publication and Reviews, Volume 6 Issue 5ISSN: 2582-7421",2025,2582-7421,International
53,The Impact of Quick Commerce on Consumer Buying Behaviour in Mumbai,"Ms. Radhika Maheshwari, Dr. Bhojraj Shewale","International Journal of Research Publications and Reviews, VOLUME 6, Issue 5, May 2025ISSN 2582-7421",2025,2582-7421,International
54,a study on customer satisfaction at Malabar gold & diamonds with reference to Abu Dhabi,"Ryan Rafi, Dr. Bhojraj Shewale","International Journal of Research Publication and Reviews, Volume 6 Issue 4ISSN: 2582-7421",2025,2582-7421,International
55,Flipkart Vs Amazon In India: How Flipkart Pulled Ahead:,Kunal Dhankhar,"International Journal of Research Publication and Reviews, Volume 6 Issue 4ISSN: 2582-7421",2025,2582-7421,International
56,Study of Challenges and Opportunities for Payments Bank in the Indian Banking Sector,"Sandesh Saindane, Mr. Amol Bhalerao, ","International Journal of Research Publications and Reviews, Vol 6 Issue 42582-7421",2025,2582-7421,International
57,The Viability of FIRE movement Across Different Income Groups: A Comparative Study,"Shruti Deshmukh, Mr. Amol Bhalerao,","International Journal of Research Publications and Reviews, Vol 6 Issue 42582-7421",2025,2582-7421,International
58,The role of sustainability in Consumer Preferences for Electronic Devices: An Indian Perspective,Om Gallani,"International Journal of Research Publications and Reviews, Vol 6 Issue 42582-7421",2025,2582-7421,International
59,Study of Factors Influencing Consumer Adoption of Online Betting Apps in India,Mr.Surya Tholikanda ,"International Journal of Research Publication and Reviews, Volume 6 Issue 4ISSN: 2582-7421",2025,2582-7421,International
60,The Role of Instagram Advertising Influencing Buying Behaviours,"Tirtha Vadodariya, Mr. Amol Bhalerao, ","International Journal of Research Publications and Reviews, Vol 6 Issue 42582-7421",2025,2582-7421,International
61,Study of Zomato Social Media Advertising Influence on Consumer Behaviour,"Twinkle Matiyas, Mr. Amol Bhalerao, ","International Journal of Research Publications and Reviews, Vol 6 Issue 42582-7421",2025,2582-7421,International
62,Promotion Strategies and Consumer Preferences in the Indian EV Market: A Comparative Study of Joma India EV Private Limited.,"Vaibhav Jha, Prof. Linu George, ","International Journal of Research Publication and Reviews, Vol(6), Issue(5), May(2025)ISSN 2582-7421",2025,2582-7421,International
63,Promotion Strategies and Consumer Preferences in the Indian EV Market: A Comparative Study of Joma India EV Private Limited.,"Vaibhav Jha, Prof. Linu George, ","International Journal of Research Publication and Reviews, Volume 6 issue 5ISSN 2582-7422",2025,2582-7421,International
64,Importance of Risk Management in Investment Decision,"Siddhesh Badwaik, Dr. Reshma Nair, ","International Journal of Research Publications and Reviews, Volume 6 issue 52582-7421",2025,2582-7421,International
65,A Study on Investor Behaviour and Preferences in India's Capital Market: Insights from Behavioural Finance,"Vidhi Dani, Dr. M. S. Suganthiya","International Journal of Research Publications and Reviews, vol 6 issue 42582-7421",2025,2582-7421,International
66,Role of Technology in Advancing ESG Investing In India,Kaustubh Kadam S Suganthiya,"International Journal of Research Publications and Reviews, vol 6 issue 42582-7421",2025,2582-7421,International
67,A Study on Digital Payment System and their Influence Consumer Behaviour,"Nandini Jaiswal, Dr. Jyoti Sah","International Journal of Research Publications and Reviews, Vol 6 Issue 42582-7421",2025,2582-7421,International
68,A Study on the Capital Structure of Tata Power,"R Vinisha, Dr. Jyoti Sah",International Journal of Advance Studies and Growth Evaluation vol 6 issue 52583-6528,2025,2582-7421,International
69,An In-depth study of the Non-Banking Financial Companies Sector In India,"Mr.Rohit Rajesh , Dr. Jyoti Sah","International Journal of Research Publication and Reviews, Volume 6 Issue 5ISSN: 2582-7421",2025,2582-7421,International
70,Comparative Study of General Insurance Companies: ICICI Lombard VS LIC General Insurance,"Sarthak Jain, Dr. Jyoti Sah","International Journal of Advance Studies and Growth Evaluation, vol 6 issue 42583-6530",2025,2582-7421,International
71,The Integration of Block-Chain and AI in Financial services revolutionizing Transaction security,"Mr. Amar Singh , Dr. Jyoti Sah","International Journal of Research Publication and Reviews, Volume 6 Issue 5ISSN: 2582-7421",2025,2582-7421,International
72,Analysis of Investment Landscape of Renewable Energy Sector in India,"Aniket Shelke, Dr. Neha Choudhary, ","International Journal of Research Publications and Reviews, Volume 6 issue 5  2582-7421",2025,2582-7421,International
73,Banking Innovation and Financial Inclusion: A Study on the Impact of Technological Advancements in the Banking Sector,"Krishna Botraj, Dr. Neha Choudhary, ","International Journal of Research Publications and Reviews, Volume 6 Issue 42582-7421",2025,2582-7421,International
74,Analysis of investor perceptions on financial instruments,"Mr. Harshil Chawda , Dr. Neha","International Journal of Research Publication and Reviews, Volume 6 Issue 4ISSN: 2582-7421",2025,2582-7421,International
75,Evaluating Hedge Fund Strategies in Emerging Markets: An Indian Perspective,"Bindavasini Choudhary, Dr. Jyoti Sah","International Journal of Advance Studies and Growth Evaluation, Vol 4, Issue 42583-6528",2025,2582-7421,International
76,“The Impact of Fintech on Traditional Banking Institutions”,"Gaurav Dighe, Dr. Jyoti Sah","International Journal of Research Publications and Reviews, Vol (6), Issue (4), April (2025)ISSN 2582-7422",2025,2582-7421,International
77,"A Study of IPO Performance in India: Influences of Market Trends, Regulatory Frameworks and Investor's Sentiments","Divyesh Bhandari , Dr. Jyoti Sah","International Journal of Advance Studies and Growth Evaluation, vol 6 issue 42583-6529",2025,2582-7421,International
78,Research Report: Analytical study on sources and uses of funds in commercial banks,"Ms Harshita Upadhyay, Dr Jyoti Sah","International Journal of Research Publication and Reviews, Volume 6 Issue 5ISSN: 2582-7421",2025,2582-7421,International
79,Comparative Analysis of Product and Services of Janta Sahakari Bank & Mahila Urban Cooperative Bank,"Pooja lanke, Dr. Jyoti Sah","International Journal of Advance Studies and Growth Evaluation, vol 6 issue 42583-6528",2025,2582-7421,International
80,Customer Perception towards Green Banking Initiatives in India,"Shreetej More, Dr. Jyoti Sah","International Journal of Research Publications and Reviews, Vol 6. Issue 5 2582-7421",2025,2582-7421,International
81,A study on the awareness and perception of Investors towards Mutual Funds,"Mr.Nachiket Damkondwar , Dr. M.S Suganthiya","International Journal of Research Publication and Reviews, Volume 6 Issue 5ISSN: 2582-7421",2025,2582-7421,International
82,Digitalization of Taxation and its Impact on Customer Transparency and Governance,"Ms.Rasika Patil , Dr.Bhawna Sharma Padroo","International Journal of Research Publication and Reviews, Volume 6 Issue 5ISSN: 2582-7421",2025,2582-7421,International
83,A Study on the Effectiveness of Artificial Intelligence Based Fraud Detection in Online Banking,"Pratik Shelke, Dr. M. S. Suganthiya","International Journal of Research Publications and Reviews, vol 6 issue 42582-7421",2025,2582-7421,International
84,A Study on  Financial Analysis of Reliance Jio (Telecommunication),"Prerna Shelke, Dr. M. S. Suganthiya","International Journal of Research Publications and Reviews, vol 6 issue 52582-7421",2025,2582-7421,International
85,Analysis of NPA and their Impact on Bank's profitability: A Comparison Between Private and Public Sector Bank,"Monika Sharma, Dr. M. S. Suganthiya","International Journal of Research Publications and Reviews, vol 6 issue 42582-7421",2025,2582-7421,International
86,A Study on the Impact of Digital Banking on Customer Satisfaction,"Sumit Jain, Dr. M. S. Suganthiya","International Journal of Research Publications and Reviews, vol 6 issue 42582-7421",2025,2582-7421,International
87,A study on investors behaviour towards mutual Funds,"Mr.Swaraj Kishor Koli, Dr. Vishal Chavan","International Journal of Research Publication and Reviews, Volume 6 Issue 4ISSN: 2582-7421",2025,2582-7421,International
88,A Study on Behavioral Biases In Investing ,"Mr.Vignesh Sudhir, Dr.Vishal Chavan","International Journal of Research Publication and Reviews, Volume 6 Issue 4ISSN: 2582-7421",2025,2582-7421,International
89,A Study of the Impact of Digitalization on Banking Services with Reference to HDFC Bank,"Mr. Yogesh Navnath Misal , Dr Vishal Chavan",International Journal of Research Publication and ReviewsVolume 6 Issue 4ISSN: 2582-7421,2025,2582-7421,International
90,AN ANALYSIS OF INVESTMENT BANKING SERVICES TO PRIVATE EQUITY AND VENTURE CAPITAL FIRMS,"Manvel Cornel, Dr. Vishal Chavan",Internationa Journal of Research Publication and ReviewsVolume 6 Issue 4ISBN 2582-7421,2025,2582-7421,International
91,The Role of Mental Health Support programs in Reducing stress in Healthcare facilities,"Ms.Gauri Sanise, Dr. Priya Satsangi",International Journal of Research Publication and ReviewsVolume 6 Issue 4ISSN: 2582-7421,2025,2582-7421,International
92,The Imact of Technology on Operational efficiency and employee productivity in the financial Industry,"Mr. Kuldeep Choudhary, Dr.Priya Satsangi",International Journal of Research Publication and ReviewsVolume 6 Issue 5ISSN: 2582-7421,2025,2582-7421,International
93,The future of HR: Integrating Advanced Technology,"Mr. Naman Shukla , Dr. Priya Satsangi",Integrated Journal For Research in Arts and HumanitiesVolume 5 Issue 2ISSN:L2583-1712,2025,2583-1712,International
94,A Study of Analyzing marketing strategies of Pharmeasy app and consumer behavior on pharmeasy app from thane outskirts,"Mr. Piyush Vaidya, Dr. Priya Satsangi",International Journal of Research Publication and ReviewsVolume 6 Issue 4ISSN: 2582-7421,2025,2582-7421,International
95,Leave Policies and Employee Experience: An Objective Comparative Analysis of Maternity and Paternity Leave,"Ms Shreya Gaikwad, Dr. Priya Satsangi",International Journal of Research Publication and ReviewsVolume 6 Issue 5ISSN: 2582-7421,2025,2582-7421,International
96,The Use of Artificial Intelligence in Enhancing Digital Marketing Strategies,"Aashay S Taywade, Dr. Sameer Kulkarni",International Journal of Research Publication and ReviewsVolume 6 Issue 5ISSN: 2582-7421,2025,2582-7421,International
97,"Metaverse Marketing: A New Era of Brand Engagement"" ","Mr.Aayush Shukla, Dr.Sameer",International Journal of Research Publication and ReviewsVolume 6 Issue 4 ISSN: 2582-7421,2025,2582-7421,International
98,The impact of Social media advertising on consumer purchase behaviour: A Case Study of Amazon,"Mr.Abhiram Chukka , Dr Sameer ",International Journal of Research Publication and ReviewsVolume 6 Issue 4 ISSN: 2582-7421,2025,2582-7421,International
99,Assessing the suitability of social media as a marketing tool for luxury non consumable products in small business,"Mr.Abhishek Suresh Nair, Dr.Sameer",International Journal on Science and Technology Volume 16 Issue 2ISSN: 2229-7677,2025,2229-7677,International
100,The impact of brand storytelling on consumer trust and loyalty:A study at amity university mumbai,"Amaan aftab,Dr. Sameer kulkarni,","International Journal of Research Publication and Reviews volume 6,issue 4 ,April 2025ISSN: 2582-7421",2025,2582-7421,International
101,PSYCHOLOGICAL TRIGGERS IN MARKETING & IMPULSE BUYING,"Aman Kumar Prasad, Dr.Sameer Kulkarni","International Journal of Research Publication and ReviewsVOLUME 6, Issue 4, April 2025ISSN: 2582-7421",2025,2582-7421,International
102,Amity University Mumbai Students ordering Through Zomato and Swiggy,"Mr. Anas Aadil Dhawlarker, Dr Sameer",International Journal of Research Publication and ReviewsVolume 6 Issue 5ISSN: 2582-7421,2025,2582-7421,International
103,Impact Analysis of E-Marketing on Consumer Purchase Decision: A Case Study on Flipkart,Mr. Anish Pramod Dabke,International Journal of Research Publication and ReviewsVolume 6 Issue 4ISSN: 2582-7421,2025,2582-7421,International
104,Influencer-Driven Content Creation and Brand Engagement : A Study of Freakins Through Instagram Reels,"Anishva Juneja, Dr. Sameer Kulkarni, ","International Journal of Research Publication and Reviews volume 6,issue 4 ,April 2025ISSN: 2582-7421",2025,2582-7421,International
105,Effective Communication Strategies for Trust-Building in Fintech Services,"Armaan Khan, Dr. Sameer Kulkarni","International Journal of Research Publication and Reviews volume 6,issue 4 ,April 2025ISSN: 2582-7421",2025,2582-7421,International
106,The Influence of Instagram Marketing on Consumer Behaviour,"Aryan Bhandari,Dr. Sameer Kulkarni","International Journal of Research Publication and Reviews volume 6,issue 4 ,April 2025ISSN: 2582-7421",2025,2582-7421,International
107,Understanding the Changing Needs: Decoding the Needs Shift,"Mr. Aryan Verma , Dr.Sameer",International Journal of Research Publication and ReviewsVolume 6 Issue 4ISSN: 2582-7421,2025,2582-7421,International
108,Product Placement by Companies in Films and its Impact on Consumer Behaviour,"Aryan Vyas, Dr. Linu George, ","International Journal of Research Publication and ReviewsVol(6), Issue(5), May(2025)ISSN 2582-7421",2025,2582-7421,International
109,The Impact of Social Media Advertising on the Buying Behaviour of Four-Wheelers,"Aswanth P Pramod, Prof. Linu George, ","International Journal of Research Publication and ReviewsVol(6), Issue(5), May(2025)ISSN 2582-7421",2025,2582-7421,International
110,The Impact of Regular Updates of Business to Business Websites on Customer Reach and Acquisition,"Dhruv Agrawal, Mr Linu George, ",Internationa Journal of Research Publication and ReviewsVolume 6 Issue 4ISSN 2582-7421,2025,2582-7421,International
111,The Role of Customer Relationship Management (CRM) in Systematic Investment Plan (SIP) Marketing,"Mr. Hasan Bhopal Wala, Prof. Linu George, ","International Journal of Research Publication and ReviewsVol(6), Issue(5), May(2025)ISSN 2582-7421",2025,2582-7421,International
112,The Influence of Social Media Marketing on Consumer Purchasing,"Henry Boby Jose, Dr. Bhawna Sharma Padroo","International Journal of Research Publication and Reviews volume 6,issue 4 ,April 2025ISSN: 2582-7421",2025,2582-7421,International
113,“Public perception of credit cards and their influence on spending behavior.’’,"Jay Mehul Rathod, Linu George","International Journal of Research Publication and ReviewsVol(6), Issue(5), May(2025)ISSN 2582-7421",2025,2582-7421,International
114,The Study on the Content used in Typrw Advertisements and its Impact on Buying Decisions ,"KM Dhreeraj Menon, Mr Linu George, ","Journal of Engineering and Technology ManagementVolume 76 , JETM/8983 ISSN 1879-1719ISSN 1879-1719",2025,1879-1719,International
115,The impact of Brand Identity On Consumer Perception And Loyalty.,"Kumar Gourav Singh, Prof. Linu George","International Journal of Research Publication and ReviewsVol(6), Issue(5), May(2025)ISSN 2582-7421",2025,2582-7421,International
116,EXPERIENTIAL MARKETING AND IT’S INFLUENCE ON BRAND LOYALTY IN THE AUTOMOBILE SECTOR,"Manas Joshi, Prof. Linu George, ","International Journal of Research Publication and ReviewsVolume 13, Issue 4 April 2025ISSN: 2320-2882",2025,2582-7421,International
117,The impact of Influencer Marketing on Consumer Purchase Decisions in Fashion Industry,"Meet Gandhi, Prof. Linu George","International Journal of Research Publication and ReviewsVol(6), Issue(5), May(2025)ISSN 2582-7421",2025,2582-7421,International
118,The Impact of Social Media Advertising on the Buying Behaviour of Two -Wheelers,"Mohammed Shaham Samsuddeen, Prof. Linu George, ","International Journal of Research Publication and ReviewsVol(6), Issue(5), May(2025)ISSN 2582-7421",2025,582-7421,International
119,Role of social media marketing in a clothing brand,Ayan Yusuf Memon & Prof Linu George,"International Journal of Research Publication and ReviewsVol(6), Issue(5), May(2025)ISSN 2582-7421",2025,2582-7421,International
120,Influence of social media on brand loyalty among millennials,"Moses Joy, Dr. Linu George, ","International Journal of Research Publication and ReviewsVol(6), Issue(5), May(2025)ISSN 2582-7421",2025,2582-7421,International
121,‘Key Determinants Shaping College Students’ Preference for Online Shopping over Traditional Retail Stores in Urban Areas’,"Nakul Mukhi, Prof Linu George","International Journal of Research Publication and ReviewsVol(6), Issue(5), May(2025)ISSN 2582-7421",2025,2582-7421,International
122,The Influence of Social Media Marketing on Consumer Purchase Decision: A Study on the Sales of AI  Courses,"Om Pawar, Mr. Amol Bhalerao, ",International Journal of Research Publications and ReviewsVol 6 Issue 42582-7421,2025,2582-7421,International
123,A Study on Branding  and Product Placement Strategies of Samsung: Impact on Consumer Buying  Behaviour and Brand Loyalty in the Smartphone Market  among Youth,"Priyam Jain, Mr. Amol Bhalerao, ",International Journal of Research Publications and ReviewsVol 6 Issue 42582-7421,2025,2582-7421,International
