 Name of Other Author/s (If any) ,Title of Book Chapter ,Year of Publication ,Name of Publisher 
"Pranav Amane, Reshma VK, Komal Ghonse, Radhika Swami, Neelmegam Rameshkumar, Nagarajan Kayalvizhi, Muthukalingan Krishnan, Aruni Wilson Santhosh Kumar, Virupaksha Bastikar, Abhishek Guldhe* and Shashank Shivaji Kamble*",Theranostic potential of extracellular vesicles released from mycobacteria and mycobacterium-infected host cells,2025,Elsevier
"Smitali Patil, Akhil Nair, Jaya Lakkakula, and Nilesh S. Wagh",Bio-Membrane Based Solutions for Wastewater Treatment,2025,Springer
"Khera, Simran, Sharon Poovathanathil, Mustansir Bhori, Vinothkannan Ravichandran, Kanchanlata Tungare, and Renitta Jobby. ",Probiotics in Management of Biofilm-Associated Livestock Diseases.,2025,Springer Nature
"Suhani Mandhare, Kritika Mangesh Tarle, Kanchanlata Tungare, Mustansir Bhori, Renitta Jobby, Vinothkannan Ravichandran",Insights into Campylobacter Biofilm Architecture: A Molecular Perspective.,2025,Springer Nature
"Samiksha Garse, Vaishnavi Thakur, Shine Devarajan, Mustansir Bhori, Renitta Jobby, Vinothkannan Ravichandran, Kanchanlata Tungare",Systems Biology Study on Bioactive Compounds. ,2025,Springer Nature
"Neha Tavare, Rajshri Singh, Sagar H. Barage",AI-Assisted Vaccine Design and Development in Immunological Disorders,2025,IGI Global Scientific Publishing
"Sharon Anthony Poovathanathil, Sagar H. Barage, Rajshri Singh",AI-Driven Precision Medicine and Personalized Healthcare for Immunological Disorders,2025,IGI Global Scientific Publishing
"Pallavi Vyas, Sneha Sabu, and Penna Suprasanna",The Enigmatic Charm of Curcuma inodora: Considerations for Conservation and Improvement,2025,Springer Nature
Jaya Lakkakula,Smart Nanoparticles for Early Diagnosis of Cancer,2025,Springer Nature
"Shelke, D.B., Chambhare, M.R., Nikam, T.D., Penna, S.",Biological Activities and Phytochemistry of Sesuvium portulacastrum (L.) L..,2025,Springer Nature
"Tejasvini Ramesh, Rajshri Singh, Sagar H Barage",Epigenetics of Aging and Epigenetic Modifications of Aging-Associated Diseases,2025,IGI Global Scientific Publishing
"Riya Rameshwar Rai, Sagar Barage, Rajshri Singh",Gene Therapy Against Age-Related Diseases,2025,IGI Global Scientific Publishing
"Jain Yash, Jayawant Maharsh, Shashank Shivaji Kamble, Abhishek Guldhe, Virupaksha Bastikar","In silico techniques, artificial intelligence, and machine learning for enhanced efficacy of extracellular vesicle–based diagnosis and therapeutics",2025,Elsevier
"Ganesh Chandrakant Nikalje, Kushi Yadav, Sai Aditya Reddy Lingampally & Suprasanna Penna ",Exploring Salt Tolerance Genes in Sesuvium Portulacastrum (L.) L. Through the Transcriptomics and Genomics Approaches,2025,Springer Nature
Ganesh Chandrakant Nikalje & Suprasanna Penna ,Potentials of Sesuvium portulacastrum (L.) L. in Biosaline Agriculture,2025,Springer Nature
"V. A. Bapat, Ganesh Chandrakant Nikalje & Suprasanna Penna ",Research Progress in Sesuvium portulacastrum (L.) L. in the Present-Day Era: Challenges and Projections,2025,Springer Nature
"Jayant Kulkarni, Sunita Singh, Ganesh Chandrakant Nikalje, Mahesh Borde, Tukaram D. Nikam, Ashish K. Srivastava & Suprasanna Penna ",Physiological and Biochemical Modulations of Environmental Stress Adaptation in Sesuvium portulacastrum (L). L.,2025,Springer Nature
"Ganesh Chandrakant Nikalje, Karim Ben Hamed & Suprasanna Penna ",Success Stories of Biosaline Agriculture,2025,Springer Nature
"Shashi Bala Singh, Narayani Sonone, Neha Tavare, Penna Suprasanna",Transgenic breeding for improving abiotic stress tolerance in rice,2025,Academic Press
"Irshika Divanji, Philip Thomas, Shashi Bala Singh, Ravishankar Patil","Application of Phyconanotechnology in Agriculture: Plant Protection, Biofertilizer and Biopesticide Activity",2025,Springer Nature Switzerland
"Ms. Bhagyeshri Gaikwad 
Dr Nilesh Wagh and Dr Jaya Lakkakula","Current scenario of recombinant proteins: extraction, purification, concentration, and storage",2025,Academic Press
"Pranav Amane, Rahul Kshirsagar, Sayanti Mandal, P B Kavi Kishor, 
Dr Nilesh Wagh and Dr Jaya Lakkakula",Chapter Two - Exploring the critical role of non-coding RNAs in plant development and stress adaptation-current status and insights,2025,Elsevier
"Vishwa Nayani, Anoushka Prabhu, Jaya Lakkakula & Nilesh Shirish Wagh ",Decontamination of Inorganic and Organic Compounds from Wastewater Using Biochar,2025,Springer Natureq
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
